®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,RSIx6,RSIx12,BBand width,Band%EMA3,TaiwanAll
2016/12/9,79.3,79.9,78.6,78.9,77.8,80.59,83.72,83.44,5922,9601,17056,-1.74,-0.79,-0.95,20.18%,17.77%,39.45%,40.46%,19.88%,18.96%,9392.68
2016/12/12,78.1,78.1,75.3,75.3,77.44,79.58,83.22,83.3,13324,10135,17396,-2,-1.04,-0.97,13.45%,16.33%,26.99%,33.80%,21.75%,20.35%,9349.94
2016/12/13,75.6,78,74.6,77.9,77.52,78.73,82.94,83.27,13042,10640,17636,-2.1,-1.25,-0.85,19.54%,17.40%,42.68%,41.40%,22.53%,21.44%,9382.14
2016/12/14,78.5,78.5,76.5,77.2,77.72,77.95,82.48,83.24,11577,11031,11945,-2.13,-1.43,-0.71,26.79%,20.53%,39.91%,40.05%,23.06%,22.25%,9368.52
2016/12/15,76.5,78,76,78,77.46,77.53,81.98,83.13,4495,9672,11206,-2.12,-1.57,-0.56,39.24%,26.77%,44.82%,42.39%,22.80%,22.53%,9360.35
2016/12/16,78,79.5,77.2,77.4,77.16,77.48,81.47,83.02,8794,10246,9924,-2.06,-1.66,-0.4,43.77%,32.43%,41.75%,41.08%,22.56%,22.54%,9326.78
2016/12/19,77.3,77.4,75,75.1,77.12,77.28,80.88,82.88,7848,9151,9643,-2.17,-1.77,-0.4,32.33%,32.40%,31.74%,36.37%,22.83%,22.69%,9239.32
2016/12/20,75.5,75.8,71.1,72.3,76,76.76,80.13,82.73,18174,10178,10409,-2.45,-1.9,-0.54,26.10%,30.30%,23.51%,31.56%,23.61%,23.15%,9242.41
2016/12/21,72.5,73.8,71.6,72.5,75.06,76.39,79.36,82.61,8839,9630,10331,-2.66,-2.05,-0.61,22.70%,27.76%,25.17%,32.26%,23.42%,23.28%,9204.26
2016/12/22,72.8,73.4,72.1,73.1,74.08,75.77,78.62,82.49,5401,9811,9742,-2.77,-2.2,-0.57,23.07%,26.20%,30.61%,34.45%,22.43%,22.85%,9118.75
2016/12/23,73.3,73.4,72,72,73,75.08,77.84,82.37,4199,8892,9569,-2.87,-2.33,-0.54,18.95%,23.78%,26.39%,32.36%,21.12%,21.99%,9078.64
2016/12/26,72.3,72.6,71.6,71.9,72.36,74.74,77.16,82.21,1953,7713,8432,-2.94,-2.45,-0.49,15.81%,21.13%,26.00%,32.16%,20.30%,21.14%,9110.54
2016/12/27,72.8,75.4,72.8,74,72.7,74.35,76.54,82.1,9256,5930,8054,-2.8,-2.52,-0.28,22.05%,21.43%,46.10%,40.33%,17.47%,19.30%,9109.27
2016/12/28,74,74.5,73.2,73.8,72.96,74.01,75.98,81.95,4314,5025,7327,-2.68,-2.55,-0.13,25.41%,22.76%,44.72%,39.84%,14.57%,16.94%,9201.4
2016/12/29,73,73.7,72.6,73.1,72.96,73.52,75.53,81.8,3032,4551,7181,-2.61,-2.57,-0.04,27.52%,24.35%,39.70%,38.04%,12.90%,14.92%,9153.09
2016/12/30,73,74.2,73,73.6,73.28,73.14,75.31,81.65,3124,4336,6614,-2.49,-2.55,0.06,36.08%,28.26%,44.99%,40.14%,12.78%,13.85%,9253.5
2017/1/3,73.8,75,73.8,74.5,73.8,73.08,75.18,81.52,2510,4447,6080,-2.29,-2.5,0.2,49.49%,35.34%,53.76%,43.88%,12.64%,13.24%,9272.88
2017/1/4,74.7,75,74,74.7,73.94,73.32,75.04,81.39,3868,3370,4650,-2.11,-2.42,0.31,60.19%,43.62%,55.64%,44.72%,12.35%,12.80%,9286.96
2017/1/5,75,77.6,74.6,76.4,74.46,73.71,75.05,81.31,9364,4380,4702,-1.8,-2.3,0.49,66.79%,51.34%,68.67%,51.43%,12.38%,12.59%,9358.14
2017/1/6,76.4,77.4,75.9,76.1,75.06,74.01,74.89,81.24,4651,4703,4627,-1.53,-2.14,0.61,69.53%,57.41%,64.65%,50.26%,11.35%,11.97%,9372.22
2017/1/9,76.2,76.9,73.7,74.6,75.26,74.27,74.68,81.13,5325,5144,4740,-1.42,-2,0.58,59.69%,58.17%,47.84%,44.69%,10.26%,11.12%,9342.42
2017/1/10,74.6,76.8,74.5,76.7,75.7,74.75,74.75,81.03,6007,5843,5145,-1.22,-1.84,0.63,67.12%,61.15%,63.70%,52.70%,10.50%,10.81%,9349.64
2017/1/11,77.2,79.3,77.1,78.7,76.5,75.22,74.79,80.96,9939,7057,5213,-0.86,-1.65,0.79,75.10%,65.80%,73.06%,58.88%,10.88%,10.84%,9345.74
2017/1/12,79.1,79.3,78.5,78.7,76.96,75.71,74.86,80.89,6920,6568,5474,-0.55,-1.43,0.88,80.22%,70.61%,73.06%,58.88%,11.47%,11.15%,9410.18
2017/1/13,79.2,79.3,78.2,79.2,77.58,76.32,74.92,80.83,4823,6603,5653,-0.28,-1.2,0.92,86.22%,75.81%,75.35%,60.42%,12.00%,11.58%,9378.83
2017/1/16,79.2,79.2,77.8,78.1,78.28,76.77,74.96,80.77,3365,6211,5677,-0.12,-0.98,0.86,83.67%,78.43%,61.55%,55.44%,12.22%,11.90%,9292.33
2017/1/17,78.3,79.5,78.1,79.5,78.84,77.27,75.18,80.72,6201,6250,6046,0.07,-0.77,0.84,89.11%,81.99%,69.95%,60.02%,13.28%,12.59%,9354.53
2017/1/18,80,80.7,76.6,76.6,78.42,77.46,75.39,80.54,13064,6875,6966,0.1,-0.6,0.7,73.22%,79.07%,45.32%,48.71%,12.86%,12.72%,9341.97
2017/1/19,77.5,77.5,75.1,75.5,77.78,77.37,75.54,80.34,10770,7645,7107,-0.01,-0.48,0.47,57.38%,71.84%,39.06%,45.19%,12.34%,12.53%,9318.12
2017/1/20,75.6,76,73.5,73.8,76.7,77.14,75.58,80.07,10985,8877,7740,-0.23,-0.43,0.2,39.64%,61.11%,31.10%,40.28%,12.17%,12.35%,9331.46
2017/1/23,74.3,75,74.1,74.8,76.04,77.16,75.72,79.82,3632,8930,7571,-0.37,-0.42,0.05,32.45%,51.55%,39.77%,44.17%,11.40%,11.87%,9424.05
2017/1/24,75.3,75.8,74.7,75.6,75.26,77.05,75.9,79.57,4466,8583,7417,-0.41,-0.42,0,31.35%,44.82%,46.26%,47.17%,10.40%,11.14%,9447.95
2017/2/2,75.9,76.1,73.8,73.8,74.7,76.56,75.89,79.31,8134,7597,7236,-0.53,-0.44,-0.09,22.29%,37.31%,35.83%,41.67%,10.46%,10.80%,9428.97
2017/2/3,74.4,74.7,73.1,74.2,74.44,76.11,75.91,79.15,5337,6511,7078,-0.64,-0.48,-0.16,19.69%,31.44%,39.47%,43.27%,10.35%,10.57%,9455.56
2017/2/6,74.5,75.6,74.3,75,74.68,75.69,76.01,79.04,5902,5494,7186,-0.64,-0.51,-0.13,21.46%,28.11%,46.72%,46.49%,9.84%,10.21%,9538.01
2017/2/7,74.5,74.7,73.8,74.1,74.54,75.29,76.03,78.88,3703,5508,7219,-0.7,-0.55,-0.15,18.69%,24.97%,40.22%,43.47%,9.68%,9.94%,9554.56
2017/2/8,74.1,74.4,73.6,74.4,74.3,74.78,76.03,78.69,3741,5363,6973,-0.74,-0.59,-0.15,22.31%,24.08%,43.37%,44.77%,9.71%,9.83%,9543.25
2017/2/9,74.3,74.3,73.6,73.9,74.32,74.51,75.99,78.49,3104,4357,5977,-0.78,-0.63,-0.15,23.76%,23.98%,39.23%,42.97%,9.90%,9.86%,9590.18
